Question,Opt A,Opt B,Opt C,Opt D,Correct
"I can paddle without hands, float without a raft, and some of my kind hunt in water. Who am I?",Dog,Tiger,Elephant,Horse,D
"In C programming, what is the correct output type for sizeof('A') on a 64-bit GCC compiler?",1,4,8,Depends on flags,B
"If a data packet leaves Server Alpha at 1 Gbps and a coffee spill on the network switch reduces speed by 50%, how long until your patience crashes?",Temporal Dissipation Interval,Latency Amplification Constant,Throughput Diminution Epoch,Buffer Overflow Moment,C
Decode the given into correct word: 'isntel'?,listen,silent,tinsel,enlist,B
"Imagine a hypothetical scenario in which a collection of various objects including but not limited to apples, oranges, screws, and coins is placed upon a flat surface; after a brief discussion about the nutritional values of fruit, the corrosion rate of metals, and the philosophical meaning of “surface area,” someone casually remarks that only one of these objects is edible without preparation, hinting that the spherical, vitamin-rich option is the focus, despite prior diversions about metallic oxidation.",Orange,Screw,Coin,Marble,A
"The game ""X of Y,"" also searchable on Google as the ""Y Number,"" involves linking actor Y to other actors through their film roles. What is this game commonly called? ",The Marlon Brando Method,The Hollywood Chain,Six Degrees of Kevin Bacon,The Charlie Chaplin Effect,C
"I can be eaten raw, made into juice, and some call me a berry (though I’m not). Which am I?",Tomato,Banana,Mango,Avocado,B
"In HTML5, which attribute removes the need for type=""text/javascript"" in <script> tags?",async,default,language,HTML5 autodetect,D
"In a programming contest, you must sort socks by color using only bubble sort — which variable best describes your mood?",Algorithmic Despondency Index,Computational Ennui Quotient,Sort-Induced Exasperation Metric,Time-Complexity Melancholia,A
Decode the given into correct word: 'carets'?,carets,caster,traces,reacts,A
"In a convoluted description of a rural setting involving the migration of birds, the flow of a river, the color of a barn, and the peculiar behavior of a goat staring at the sky, the narrator slips in a mention that the only structure with a roof in sight is the red building where grain is stored, subtly identifying the barn amidst irrelevant details.",Tree,Barn,River,Hill,B
"The Indian fast-food chain Burger Singh has a vegetarian combo called ""two inseparable burgers,"" inspired by the main characters of an iconic 1994 film. What is the movie and the combo name? ",Sholay & Jai Veeru,Andaz Apna Apna & Amar Prem,Dilwale Dulhania Le Jayenge & Raj Simran,Karan Arjun & Karan Arjun,B
"I may be full of sand, but I’m not a beach; I might surprise you in the cold north or hot south. Where am I?",India,China,USA,Australia,B
Which sorting algorithm has the best average case complexity among these for large datasets in practical use?,Merge Sort,Tim Sort,Heap Sort,Quick Sort,B
Your compiler throws an error: “Unexpected existential dread at line 42.” What’s the probable fix?,Semantic Reality Reassignment,Syntax Reconciliation Directive,Ontological Parser Reset,Philosophy Constructs,B
Decode the given into correct word: 'estno'?,stone,tones,notes,onset,D
"Within a long-winded explanation of human history, covering topics from the invention of paper to the debate over pyramid construction techniques, a seemingly irrelevant note appears about an object on the wall that ticks rhythmically and points to numbers, revealing the answer indirectly.",Clock,Calendar,Compass,Sundial,A
"Amala Ratna Zandile Dlamini created her stage name in 2012, with the first part coming from a marijuana strain and the second from her pet. Who is she? ",Cardi B,Doja Cat,Nicki Minaj,Megan Thee Stallion,B
"I speak to computers in my own tongue, some of my names sound like animals or fruits. Who am I?",Python,Ruby,Swift,Go,C
"In Python, what will 0.1 + 0.2 == 0.3 return?",TRUE,FALSE,Float precision,Error,B
Which of these is the optimal storage unit for dreams about passing all exams?,Non-Volatile Ambition Memory,Random Access Hope Storage,Sequential Aspiration Buffer,Cloud-Based Grade Repository,D
Decode the given into correct word: 'opst'?,post,spot,stop,tops,D
"The passage meanders through discussions of coffee bean roasting, the migration of monarch butterflies, and the sound patterns of whale songs, until it quietly notes that the liquid in the cup is both black and aromatic, leading to an obvious beverage.",Tea,Coffee,Juice,Cola,B
"In 1997, after discovering a lack of media coverage for the Champions' Trophy in Sharjah, this English cricket enthusiast founded a website, now accessed via Cricinfo, to cover the event. Who is he? ",Tony Greig,Geoffrey Boycott,Richie Benaud,Peter Griffith,D
"I’m a silent river for electricity; jewelry loves me, wires need me. Which am I?",Copper,Gold,Silver,Aluminium,A
"In DBMS, which isolation level prevents dirty reads, non-repeatable reads, and phantom reads?",Read Committed,Repeatable Read,Serializable,Snapshot Isolation,C
A CPU overheats and starts giving life advice. Which register is most likely corrupted?,Stack of Regrets Pointer,Instruction of Destiny Counter,Memory of Lost Opportunities,Accumulator of Life Choices,B
Decode the given into correct word: 'cinema'?,cinema,anemic,iceman,amine,C
"Amid talk of car engine pistons, architectural arches, and ancient Roman aqueducts, the text briefly says that the only thing in the room that gives off light in darkness is mounted to the ceiling and powered by electricity.",Candle,Lantern,Light Bulb,Moon,C
"According to Wikipedia's most popular articles of 2023, what were the films X (at #7) and Y (at #10)? ","X: Oppenheimer, Y: Barbie","X: Jawan, Y: Pathaan","X: Guardians of the Galaxy Vol. 3, Y: Spider-Man: Across the Spider-Verse","X: Animal, Y: Gadar 2",B
"I bounce, I roll, I fly over nets; I’m the heart of many games. What am I?",Cricket,Basketball,Tennis,Volleyball,C
What will be the value of x after executing x = x++ + ++x; when x=5 in Java?,12,13,14,Undefined Behavior,B
"In database terms, which normal form ensures no repeated nightmares before semester results?",Third Subconscious Form,Boyce–Codd Daydream Form,First Lucid Reality Form,Fifth Parallel Universe Form,A
Decode the given into correct word: 'earth'?,earth,heart,hater,rathe,A
"An overly complex narrative covers everything from cloud classifications to medieval armor designs, then abruptly mentions that the soft object you sleep on is where you last misplaced your phone, hidden under a pillow.",Chair,Bed,Sofa,Hammock,B
